gene,cell_type,mean_wt,mean_ko,log2fc
DNAJB1,quiescent,4.608826695371367,4.385360602798708,-0.07170404077225957
HNRNPA1,quiescent,17.821959095801937,17.934983853606028,0.009120511273758092
VIM,quiescent,42.64477933261571,42.516684607104416,-0.00434003259392322
HBA2,quiescent,0.476210979547901,0.45748116254036597,-0.057888544198248196
EIF1,quiescent,16.085252960172227,15.901829924650162,-0.016545829150957397
EEF1B2,quiescent,25.168568353067815,25.184499461786867,0.0009129029593721786
CHCHD7,quiescent,0.6264800861141012,0.6551130247578041,0.06447518061829877
EMP3,quiescent,3.1332615715823464,3.1156081808396126,-0.008151402744692504
H1F0,quiescent,0.9231431646932186,0.9506996770721206,0.04243526627509777
LDHB,quiescent,10.935199138858987,10.958019375672766,0.0030075664189388256
RPSA,quiescent,56.07362755651238,55.741657696447795,-0.008566497450258793
PDZD2,quiescent,0.1814854682454252,0.17093649085037674,-0.08639362330854645
OTUD1,quiescent,0.3130247578040904,0.3085037674919268,-0.0209886595899073
GAPDH,quiescent,71.59375672766416,72.01313240043056,0.008426238141916216
MIF,quiescent,4.040473627556512,3.9481162540365986,-0.033359945534153654
GNAS,quiescent,18.681593110871905,18.640688912809473,-0.0031623097046033152
BNIP3,quiescent,3.7640473627556514,3.840043057050592,0.02883770594535612
WSCD1,quiescent,0.2458557588805167,0.25984930032292786,0.07986302507616899
LGALS1,quiescent,16.85920344456405,16.71194833153929,-0.012656437003531962
FKBP4,quiescent,2.420452099031216,2.4071044133476858,-0.00797782023095484
HSPH1,quiescent,2.655328310010764,2.580193756727664,-0.04141084242570106
CNBP,quiescent,5.595479009687836,5.654251883745963,0.015074512657956129
FLCN,quiescent,0.4727664155005382,0.48632938643702905,0.04080621630278124
FOXO1,quiescent,0.4002152852529602,0.42540365984930034,0.08805617645175413
SMPDL3A,quiescent,0.3898815931108719,0.39892357373519916,0.033076334993226174
CCT8,quiescent,4.42583423035522,4.520344456404736,0.03048329614929543
ID2,quiescent,0.643702906350915,0.6340150699677072,-0.021877850333397942
