cell,gene,expr_real,expr_wt,expr_ko,diff
0,FOXM1,0.0,1.0,1.0,0.0
1,FOXM1,0.0,1.0,0.0,-1.0
2,FOXM1,0.0,0.0,0.0,0.0
3,FOXM1,0.0,0.0,1.0,1.0
4,FOXM1,0.0,3.0,3.0,0.0
5,FOXM1,1.0,1.0,0.0,-1.0
6,FOXM1,0.0,2.0,0.0,-2.0
7,FOXM1,0.0,1.0,0.0,-1.0
8,FOXM1,0.0,2.0,2.0,0.0
9,FOXM1,0.0,0.0,0.0,0.0
10,FOXM1,0.0,0.0,1.0,1.0
11,FOXM1,0.0,0.0,0.0,0.0
12,FOXM1,0.0,0.0,0.0,0.0
13,FOXM1,0.0,0.0,0.0,0.0
14,FOXM1,0.0,0.0,0.0,0.0
15,FOXM1,1.0,2.0,0.0,-2.0
16,FOXM1,0.0,1.0,0.0,-1.0
17,FOXM1,0.0,1.0,0.0,-1.0
18,FOXM1,0.0,0.0,0.0,0.0
19,FOXM1,0.0,1.0,0.0,-1.0
20,FOXM1,1.0,0.0,1.0,1.0
21,FOXM1,0.0,0.0,0.0,0.0
22,FOXM1,0.0,0.0,0.0,0.0
23,FOXM1,0.0,0.0,4.0,4.0
24,FOXM1,0.0,0.0,0.0,0.0
25,FOXM1,0.0,0.0,0.0,0.0
26,FOXM1,0.0,6.0,0.0,-6.0
27,FOXM1,0.0,0.0,0.0,0.0
28,FOXM1,1.0,1.0,0.0,-1.0
29,FOXM1,0.0,0.0,1.0,1.0
30,FOXM1,3.0,0.0,0.0,0.0
31,FOXM1,0.0,0.0,0.0,0.0
32,FOXM1,0.0,0.0,0.0,0.0
33,FOXM1,1.0,0.0,3.0,3.0
34,FOXM1,0.0,1.0,0.0,-1.0
35,FOXM1,0.0,1.0,3.0,2.0
36,FOXM1,1.0,0.0,0.0,0.0
37,FOXM1,0.0,0.0,2.0,2.0
38,FOXM1,1.0,0.0,0.0,0.0
39,FOXM1,0.0,0.0,0.0,0.0
40,FOXM1,0.0,0.0,0.0,0.0
41,FOXM1,1.0,0.0,1.0,1.0
42,FOXM1,0.0,0.0,0.0,0.0
43,FOXM1,0.0,0.0,0.0,0.0
44,FOXM1,0.0,0.0,1.0,1.0
45,FOXM1,0.0,0.0,0.0,0.0
46,FOXM1,0.0,0.0,0.0,0.0
47,FOXM1,0.0,0.0,0.0,0.0
48,FOXM1,1.0,0.0,0.0,0.0
49,FOXM1,0.0,0.0,0.0,0.0
50,FOXM1,0.0,1.0,0.0,-1.0
51,FOXM1,2.0,0.0,0.0,0.0
52,FOXM1,0.0,0.0,0.0,0.0
53,FOXM1,0.0,0.0,2.0,2.0
54,FOXM1,0.0,2.0,2.0,0.0
55,FOXM1,3.0,0.0,0.0,0.0
56,FOXM1,0.0,0.0,1.0,1.0
57,FOXM1,0.0,0.0,0.0,0.0
58,FOXM1,0.0,0.0,0.0,0.0
59,FOXM1,0.0,0.0,6.0,6.0
60,FOXM1,0.0,0.0,0.0,0.0
61,FOXM1,0.0,0.0,1.0,1.0
62,FOXM1,0.0,0.0,0.0,0.0
63,FOXM1,0.0,0.0,0.0,0.0
64,FOXM1,0.0,0.0,0.0,0.0
65,FOXM1,0.0,0.0,0.0,0.0
66,FOXM1,0.0,0.0,0.0,0.0
67,FOXM1,0.0,0.0,2.0,2.0
68,FOXM1,0.0,0.0,0.0,0.0
69,FOXM1,0.0,0.0,0.0,0.0
70,FOXM1,0.0,0.0,0.0,0.0
71,FOXM1,3.0,0.0,0.0,0.0
72,FOXM1,0.0,0.0,0.0,0.0
73,FOXM1,0.0,4.0,0.0,-4.0
74,FOXM1,0.0,0.0,0.0,0.0
75,FOXM1,0.0,1.0,0.0,-1.0
76,FOXM1,2.0,0.0,0.0,0.0
77,FOXM1,0.0,0.0,0.0,0.0
78,FOXM1,0.0,1.0,0.0,-1.0
79,FOXM1,2.0,1.0,0.0,-1.0
80,FOXM1,0.0,3.0,0.0,-3.0
81,FOXM1,1.0,0.0,0.0,0.0
82,FOXM1,0.0,1.0,0.0,-1.0
83,FOXM1,1.0,0.0,0.0,0.0
84,FOXM1,0.0,0.0,0.0,0.0
85,FOXM1,0.0,0.0,1.0,1.0
86,FOXM1,0.0,2.0,1.0,-1.0
87,FOXM1,0.0,1.0,0.0,-1.0
88,FOXM1,0.0,0.0,4.0,4.0
89,FOXM1,0.0,1.0,3.0,2.0
90,FOXM1,0.0,2.0,1.0,-1.0
91,FOXM1,0.0,0.0,0.0,0.0
92,FOXM1,1.0,1.0,0.0,-1.0
93,FOXM1,0.0,0.0,2.0,2.0
94,FOXM1,0.0,0.0,0.0,0.0
95,FOXM1,0.0,0.0,1.0,1.0
96,FOXM1,0.0,0.0,0.0,0.0
97,FOXM1,1.0,1.0,0.0,-1.0
98,FOXM1,1.0,0.0,1.0,1.0
99,FOXM1,0.0,1.0,1.0,0.0
100,FOXM1,0.0,5.0,1.0,-4.0
101,FOXM1,2.0,3.0,0.0,-3.0
102,FOXM1,0.0,0.0,0.0,0.0
103,FOXM1,2.0,2.0,2.0,0.0
104,FOXM1,4.0,0.0,0.0,0.0
105,FOXM1,0.0,1.0,0.0,-1.0
106,FOXM1,0.0,2.0,2.0,0.0
107,FOXM1,2.0,3.0,0.0,-3.0
108,FOXM1,0.0,5.0,2.0,-3.0
109,FOXM1,0.0,0.0,0.0,0.0
110,FOXM1,0.0,0.0,1.0,1.0
111,FOXM1,1.0,0.0,1.0,1.0
112,FOXM1,1.0,0.0,0.0,0.0
113,FOXM1,0.0,1.0,0.0,-1.0
114,FOXM1,0.0,0.0,0.0,0.0
115,FOXM1,0.0,1.0,1.0,0.0
116,FOXM1,0.0,1.0,2.0,1.0
117,FOXM1,1.0,1.0,0.0,-1.0
118,FOXM1,0.0,0.0,0.0,0.0
119,FOXM1,0.0,2.0,0.0,-2.0
120,FOXM1,0.0,3.0,1.0,-2.0
121,FOXM1,0.0,1.0,0.0,-1.0
122,FOXM1,0.0,0.0,1.0,1.0
123,FOXM1,0.0,0.0,0.0,0.0
124,FOXM1,0.0,0.0,0.0,0.0
125,FOXM1,0.0,0.0,0.0,0.0
126,FOXM1,1.0,0.0,0.0,0.0
127,FOXM1,0.0,0.0,0.0,0.0
128,FOXM1,0.0,0.0,0.0,0.0
129,FOXM1,0.0,1.0,0.0,-1.0
130,FOXM1,0.0,0.0,1.0,1.0
131,FOXM1,0.0,0.0,1.0,1.0
132,FOXM1,1.0,1.0,1.0,0.0
133,FOXM1,0.0,0.0,0.0,0.0
134,FOXM1,0.0,0.0,0.0,0.0
135,FOXM1,2.0,0.0,0.0,0.0
136,FOXM1,0.0,1.0,0.0,-1.0
137,FOXM1,1.0,0.0,0.0,0.0
138,FOXM1,0.0,1.0,1.0,0.0
139,FOXM1,3.0,0.0,0.0,0.0
140,FOXM1,0.0,0.0,1.0,1.0
141,FOXM1,0.0,3.0,0.0,-3.0
142,FOXM1,2.0,0.0,0.0,0.0
