x,y,population,cell_type,time
-1.9365077,8.18868,quiescent,quiescent,0.0
7.1220145,3.0349107,proliferative,proliferative,80.0
0.03346772,5.386853,intermediate,quiescent,16.0
7.7175374,3.3998985,proliferative,proliferative,80.0
-1.0021945,3.8190405,intermediate,intermediate,32.0
2.2729762,-0.9840416,intermediate,intermediate,48.0
-2.3026154,9.198403,quiescent,quiescent,0.0
3.341201,-1.3602768,intermediate,intermediate,48.0
3.0725083,1.3485713,intermediate,intermediate,48.0
1.4230341,0.6968889,intermediate,intermediate,64.0
1.4271035,8.51899,intermediate,quiescent,0.0
-2.37716,8.654647,quiescent,quiescent,0.0
-2.438442,11.786643,quiescent,quiescent,0.0
-0.35843587,9.007943,quiescent,quiescent,0.0
-1.6018765,4.9820685,intermediate,quiescent,16.0
-0.84247524,3.4346592,intermediate,intermediate,32.0
-0.8273535,8.314941,quiescent,quiescent,0.0
3.0520601,1.4374926,intermediate,intermediate,32.0
-0.034368843,4.1940007,intermediate,quiescent,16.0
0.031045988,5.6089306,intermediate,quiescent,16.0
1.6945529,6.5087457,quiescent,quiescent,16.0
-0.11279537,3.3249905,intermediate,intermediate,32.0
-0.8259153,2.318312,intermediate,intermediate,64.0
-1.7680148,5.5944657,intermediate,quiescent,16.0
0.23648787,8.15178,quiescent,quiescent,0.0
0.6194454,2.4986904,intermediate,intermediate,48.0
0.9013092,5.959779,intermediate,quiescent,16.0
0.5088548,4.200923,intermediate,quiescent,16.0
0.1968201,7.1212363,proliferative,quiescent,32.0
2.019632,0.8528266,intermediate,intermediate,32.0
7.9872446,7.5674334,proliferative,proliferative,80.0
5.1161566,2.2977073,proliferative,proliferative,64.0
3.0578723,4.8070993,proliferative,intermediate,80.0
8.645435,5.049914,proliferative,proliferative,80.0
7.5912986,5.471718,proliferative,proliferative,64.0
0.29287532,7.4819584,quiescent,quiescent,16.0
6.9870563,2.7770884,proliferative,proliferative,80.0
0.33007827,0.5057921,intermediate,intermediate,32.0
7.5783014,3.9457288,proliferative,proliferative,80.0
0.4418606,9.71545,quiescent,quiescent,0.0
0.25494117,9.443659,quiescent,quiescent,0.0
7.233032,4.505415,proliferative,proliferative,80.0
0.5135071,8.047025,quiescent,quiescent,0.0
-0.41044244,2.7222528,intermediate,intermediate,32.0
-1.003015,3.085694,intermediate,quiescent,16.0
-0.40228826,9.707522,quiescent,quiescent,0.0
0.10036264,4.7525377,intermediate,intermediate,32.0
1.46697,1.7833122,intermediate,intermediate,48.0
4.9578085,2.317887,proliferative,proliferative,64.0
3.2238312,1.6439825,intermediate,intermediate,64.0
-1.8399574,8.024285,quiescent,quiescent,0.0
8.394347,7.8081417,proliferative,proliferative,80.0
1.9345084,-0.4876239,quiescent,intermediate,48.0
0.94921726,6.6685157,intermediate,quiescent,16.0
-0.39251396,4.4829435,intermediate,intermediate,32.0
0.23231785,6.4865193,intermediate,quiescent,16.0
1.117819,-0.52586114,intermediate,intermediate,32.0
7.048444,7.521937,proliferative,proliferative,80.0
7.5101185,1.2924974,proliferative,proliferative,64.0
-0.66866124,7.4897814,quiescent,quiescent,16.0
-2.6411989,11.296444,quiescent,quiescent,0.0
-1.5402418,6.401513,quiescent,quiescent,16.0
5.4545746,2.2226384,proliferative,proliferative,64.0
0.38840613,9.005353,quiescent,quiescent,0.0
-1.5073643,4.569342,intermediate,intermediate,32.0
-2.293618,12.2821665,quiescent,quiescent,0.0
6.1881027,7.354205,proliferative,proliferative,64.0
2.874456,1.7495157,intermediate,intermediate,32.0
-1.542093,8.4117155,quiescent,quiescent,0.0
1.0668484,4.886401,quiescent,intermediate,32.0
1.6530142,6.915352,intermediate,quiescent,16.0
8.736566,5.661924,proliferative,proliferative,80.0
-1.6250188,2.0841467,intermediate,quiescent,16.0
-0.82404417,3.336265,proliferative,intermediate,64.0
1.1522022,8.230517,intermediate,quiescent,0.0
2.3284883,2.4900498,intermediate,intermediate,32.0
6.232993,4.013519,proliferative,proliferative,64.0
8.251321,6.47491,proliferative,proliferative,80.0
-1.708802,5.9114857,quiescent,quiescent,16.0
8.031635,6.2618046,proliferative,proliferative,80.0
-2.5349112,3.4913836,intermediate,quiescent,16.0
1.0267115,3.3433132,intermediate,intermediate,32.0
0.31216297,8.977248,quiescent,quiescent,0.0
-0.52983564,3.775655,intermediate,intermediate,32.0
1.8717376,9.1928425,intermediate,quiescent,0.0
4.140447,-0.43042025,intermediate,intermediate,48.0
-1.6589066,3.8907185,intermediate,intermediate,32.0
1.3752006,4.362233,intermediate,intermediate,32.0
-1.1405518,3.6577682,intermediate,intermediate,32.0
3.4330375,0.34056607,intermediate,intermediate,32.0
-0.25257012,8.5567875,quiescent,quiescent,0.0
-0.9554736,9.237758,quiescent,quiescent,0.0
5.0696726,2.9923265,proliferative,proliferative,64.0
1.1640607,2.0744133,intermediate,intermediate,48.0
3.239919,-0.42415464,intermediate,intermediate,64.0
-0.19367012,9.637441,intermediate,quiescent,0.0
2.6194928,2.1402311,intermediate,intermediate,32.0
6.7079163,6.035719,proliferative,intermediate,64.0
0.2806954,2.9621627,proliferative,intermediate,64.0
0.39876032,2.0875185,intermediate,intermediate,32.0
3.0765884,5.2306976,proliferative,intermediate,80.0
7.5055585,4.831497,proliferative,proliferative,80.0
4.403665,1.7983698,proliferative,proliferative,64.0
7.1773286,4.921786,proliferative,proliferative,64.0
4.113103,2.2413876,proliferative,proliferative,48.0
2.5679998,2.2943785,intermediate,intermediate,48.0
-0.5500028,8.555381,quiescent,quiescent,0.0
6.8161135,4.783788,proliferative,proliferative,80.0
-2.3675318,1.6879283,intermediate,quiescent,16.0
7.4225955,4.374743,proliferative,proliferative,80.0
-0.5729713,9.337696,quiescent,quiescent,0.0
1.475584,-0.44845018,intermediate,intermediate,48.0
7.6418376,2.8912282,proliferative,proliferative,64.0
1.0118022,1.4853553,intermediate,intermediate,48.0
-1.5307167,5.628032,quiescent,quiescent,16.0
-0.79524285,7.5205216,quiescent,quiescent,16.0
2.5498645,1.6417984,intermediate,intermediate,32.0
7.8851504,3.948095,proliferative,proliferative,80.0
1.781526,-0.7123248,intermediate,intermediate,48.0
-0.30213323,3.8948689,quiescent,quiescent,16.0
5.5975404,1.9590343,proliferative,proliferative,64.0
4.660151,2.3956258,proliferative,proliferative,64.0
3.1207721,6.6187034,intermediate,quiescent,16.0
0.70009035,1.106443,quiescent,intermediate,32.0
-1.7071395,4.252867,intermediate,intermediate,48.0
-0.22808322,2.9492762,intermediate,intermediate,48.0
8.391441,7.54771,proliferative,proliferative,80.0
1.1796976,1.393242,intermediate,intermediate,64.0
-1.6921242,7.6366334,quiescent,quiescent,16.0
0.2199368,9.155563,quiescent,quiescent,0.0
0.8534041,0.45925778,intermediate,intermediate,32.0
0.083491646,5.7772202,quiescent,quiescent,16.0
6.818341,4.171184,proliferative,proliferative,64.0
2.3810194,1.7668144,intermediate,intermediate,32.0
6.3372245,3.3538454,proliferative,proliferative,80.0
7.339934,8.192878,proliferative,proliferative,80.0
0.85700774,3.722764,intermediate,intermediate,32.0
4.9623327,5.405972,proliferative,proliferative,80.0
2.5580618,1.4767271,intermediate,intermediate,48.0
7.9857774,2.9118404,proliferative,proliferative,80.0
-0.045291983,3.405397,intermediate,intermediate,32.0
3.3241925,-0.9973534,intermediate,intermediate,48.0
6.89179,6.9615064,proliferative,proliferative,80.0
2.6894615,2.4796684,intermediate,intermediate,48.0
-2.1705403,7.1524305,quiescent,quiescent,16.0
0.25615394,2.04495,intermediate,intermediate,64.0
-2.055198,6.235022,quiescent,quiescent,16.0
-0.036306232,2.6249266,intermediate,intermediate,32.0
1.8586656,1.9285241,intermediate,intermediate,48.0
7.3760767,3.312899,proliferative,proliferative,80.0
2.208712,-0.72452545,intermediate,intermediate,64.0
3.9101932,1.5290112,intermediate,proliferative,48.0
7.7926455,7.7300205,proliferative,proliferative,80.0
8.413102,8.491873,proliferative,proliferative,80.0
-0.029202038,5.427589,intermediate,quiescent,16.0
3.767763,-0.20262267,intermediate,intermediate,48.0
6.902476,2.993777,proliferative,proliferative,80.0
2.95147,-0.07064135,quiescent,intermediate,32.0
-0.061487302,4.580116,intermediate,quiescent,48.0
7.5593996,6.372597,proliferative,proliferative,80.0
-0.36151767,3.5771708,intermediate,intermediate,32.0
0.9343375,1.4894305,intermediate,intermediate,32.0
-0.8587248,4.6756797,intermediate,intermediate,32.0
-0.43629134,4.11014,intermediate,intermediate,48.0
7.801345,6.6614056,proliferative,proliferative,80.0
4.5313945,2.3449235,intermediate,proliferative,48.0
2.826255,-1.3965414,intermediate,intermediate,64.0
