x,y,cell_type,FOXM1_wt,FOXM1_ko,NUSAP1_wt,NUSAP1_ko,PABPN1_wt,PABPN1_ko
0.4418606,9.71545,quiescent,0.0,0.0,5.0,5.0,0.0,0.0
0.25494117,9.443659,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.5135071,8.047025,quiescent,0.0,0.0,0.0,1.0,0.0,0.0
-1.003015,3.085694,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-0.40228826,9.707522,quiescent,0.0,0.0,0.0,1.0,0.0,0.0
0.94921726,6.6685157,quiescent,0.0,2.0,1.0,3.0,0.0,0.0
0.23231785,6.4865193,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.6411989,11.296444,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.542093,8.4117155,quiescent,0.0,0.0,0.0,0.0,17.0,0.0
1.6530142,6.915352,quiescent,0.0,0.0,1.0,3.0,0.0,0.0
-1.708802,5.9114857,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
0.31216297,8.977248,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
1.8717376,9.1928425,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.30213323,3.8948689,quiescent,2.0,0.0,3.0,3.0,0.0,0.0
-1.6921242,7.6366334,quiescent,0.0,0.0,1.0,2.0,0.0,0.0
0.2199368,9.155563,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
0.083491646,5.7772202,quiescent,0.0,1.0,0.0,3.0,0.0,0.0
-1.5679885,6.326444,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.0316504,5.620555,quiescent,0.0,3.0,5.0,7.0,0.0,0.0
2.2077112,7.0870485,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-0.33920756,9.187507,quiescent,2.0,0.0,4.0,1.0,0.0,0.0
-1.0088509,8.7579365,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.2894624,5.3189573,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-1.3552167,7.423981,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.91499436,8.925314,quiescent,1.0,1.0,3.0,4.0,0.0,0.0
-1.7724785,8.402398,quiescent,0.0,0.0,3.0,3.0,0.0,0.0
-0.5504081,4.415848,quiescent,1.0,0.0,0.0,4.0,0.0,0.0
-1.949795,8.724373,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.5664202,5.9809804,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.767333,5.2982306,quiescent,0.0,0.0,0.0,0.0,2.0,0.0
-3.0068467,9.471039,quiescent,0.0,1.0,1.0,7.0,0.0,0.0
-1.3855213,7.2886696,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.8137487,5.513887,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.6355841,10.885333,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.44248992,6.913465,quiescent,1.0,0.0,0.0,0.0,7.0,0.0
1.687725,7.025434,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.3530226,5.460406,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-2.0034828,9.465991,quiescent,0.0,0.0,0.0,0.0,5.0,0.0
1.4774764,8.713312,quiescent,0.0,0.0,0.0,0.0,3.0,0.0
0.35861084,4.8345885,quiescent,0.0,1.0,4.0,1.0,1.0,0.0
-1.6268721,6.2872524,quiescent,1.0,3.0,4.0,1.0,78.0,0.0
-1.8583673,6.6194267,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.0199589,6.6792917,quiescent,1.0,6.0,1.0,2.0,0.0,0.0
-1.0542954,5.8814793,quiescent,1.0,0.0,3.0,1.0,2.0,0.0
-2.4194741,7.221263,quiescent,0.0,1.0,1.0,2.0,0.0,0.0
-1.4495969,6.831514,quiescent,1.0,0.0,0.0,0.0,3.0,0.0
0.6651682,9.623328,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.51834774,8.963509,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
1.114029,5.398003,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.0008456698,4.8501396,quiescent,0.0,2.0,4.0,1.0,0.0,0.0
2.240981,6.9601364,quiescent,0.0,0.0,0.0,0.0,21.0,0.0
0.7022751,8.216224,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.78156817,6.217033,quiescent,0.0,0.0,0.0,0.0,0.0,174.0
-2.3241847,11.930942,quiescent,1.0,0.0,1.0,0.0,0.0,0.0
-0.91882473,9.854643,quiescent,0.0,0.0,1.0,13.0,0.0,0.0
-1.6726204,7.3872128,quiescent,1.0,0.0,1.0,0.0,0.0,4.0
0.20792805,8.213472,quiescent,0.0,0.0,0.0,0.0,3.0,0.0
-1.3936527,8.745305,quiescent,1.0,5.0,3.0,2.0,0.0,0.0
1.5125643,8.026248,quiescent,3.0,0.0,0.0,0.0,0.0,0.0
-1.4687958,7.421278,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
0.007035523,5.976201,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5652921,5.120735,quiescent,0.0,0.0,0.0,1.0,0.0,0.0
-2.966809,9.131976,quiescent,0.0,0.0,2.0,0.0,0.0,0.0
-1.6005517,9.126858,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.286136,9.943854,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
