x,y,cell_type,prolif_score_wt,prolif_score_ko,qsc_score_wt,qsc_score_ko,delta_prolif,delta_qsc
0.4418606,9.71545,quiescent,2.31,2.58,3.29,3.5,0.27,0.2099999999999999
0.25494117,9.443659,quiescent,1.64,1.47,3.27,3.99,-0.1699999999999999,0.7200000000000002
0.5135071,8.047025,quiescent,2.75,2.32,3.87,3.47,-0.4300000000000001,-0.3999999999999999
-1.003015,3.085694,quiescent,0.82,0.82,3.77,4.2,0.0,0.4300000000000001
-0.40228826,9.707522,quiescent,1.02,1.15,3.43,3.56,0.1299999999999999,0.1299999999999999
0.94921726,6.6685157,quiescent,2.15,2.18,4.04,4.11,0.0300000000000002,0.0700000000000002
0.23231785,6.4865193,quiescent,0.7,0.93,3.63,2.73,0.2300000000000001,-0.8999999999999999
-2.6411989,11.296444,quiescent,0.98,1.39,3.74,3.9,0.4099999999999999,0.1599999999999997
-1.542093,8.4117155,quiescent,0.99,1.28,4.63,3.18,0.29,-1.4499999999999995
1.6530142,6.915352,quiescent,1.61,1.59,4.02,3.24,-0.02,-0.7799999999999994
-1.708802,5.9114857,quiescent,0.63,0.71,3.09,3.81,0.0799999999999999,0.7200000000000002
0.31216297,8.977248,quiescent,0.48,0.62,3.43,4.28,0.14,0.8500000000000001
1.8717376,9.1928425,quiescent,0.8,0.58,4.37,3.33,-0.22,-1.04
-0.30213323,3.8948689,quiescent,0.5,0.58,3.97,3.93,0.0799999999999999,-0.04
-1.6921242,7.6366334,quiescent,1.14,1.04,5.38,3.32,-0.0999999999999998,-2.06
0.2199368,9.155563,quiescent,0.87,0.63,3.64,4.47,-0.24,0.8299999999999996
0.083491646,5.7772202,quiescent,1.06,0.98,3.3,4.36,-0.08,1.0600000000000005
-1.5679885,6.326444,quiescent,1.0,0.92,3.06,3.69,-0.0799999999999999,0.6299999999999999
-1.0316504,5.620555,quiescent,2.18,2.0,5.14,4.63,-0.1800000000000001,-0.5099999999999998
2.2077112,7.0870485,quiescent,0.98,0.94,3.95,4.06,-0.04,0.1099999999999994
-0.33920756,9.187507,quiescent,2.15,2.41,3.89,4.27,0.2600000000000002,0.3799999999999994
-1.0088509,8.7579365,quiescent,0.64,0.84,2.68,3.01,0.1999999999999999,0.3299999999999996
0.2894624,5.3189573,quiescent,0.68,1.0,3.39,3.02,0.3199999999999999,-0.3700000000000001
-1.3552167,7.423981,quiescent,0.39,0.48,3.82,4.97,0.0899999999999999,1.15
-0.91499436,8.925314,quiescent,2.07,2.7,4.0,4.05,0.6300000000000003,0.0499999999999998
-1.7724785,8.402398,quiescent,1.47,2.13,3.7,3.89,0.6599999999999999,0.1899999999999999
-0.5504081,4.415848,quiescent,1.06,1.51,3.74,4.04,0.4499999999999999,0.2999999999999998
-1.949795,8.724373,quiescent,0.65,0.72,4.08,4.74,0.0699999999999999,0.6600000000000001
-1.5664202,5.9809804,quiescent,0.49,0.7,4.34,2.93,0.2099999999999999,-1.4099999999999997
-1.767333,5.2982306,quiescent,1.4,1.91,4.79,3.76,0.51,-1.0300000000000002
-3.0068467,9.471039,quiescent,2.31,2.14,4.23,4.13,-0.1699999999999999,-0.1000000000000005
-1.3855213,7.2886696,quiescent,0.67,0.53,4.09,3.27,-0.14,-0.8199999999999998
-1.8137487,5.513887,quiescent,1.02,1.05,4.14,3.6,0.03,-0.5399999999999996
-1.6355841,10.885333,quiescent,0.53,0.37,3.74,3.57,-0.16,-0.1700000000000003
-0.44248992,6.913465,quiescent,0.95,0.85,3.85,4.93,-0.0999999999999999,1.0799999999999996
1.687725,7.025434,quiescent,0.9,0.93,3.29,3.3,0.03,0.0099999999999997
-2.3530226,5.460406,quiescent,0.65,0.66,3.69,3.27,0.01,-0.4199999999999999
-2.0034828,9.465991,quiescent,0.6,0.81,4.43,4.07,0.21,-0.3599999999999994
1.4774764,8.713312,quiescent,0.66,0.85,4.47,4.83,0.1899999999999999,0.3600000000000003
0.35861084,4.8345885,quiescent,2.29,2.23,3.38,3.66,-0.06,0.2800000000000002
-1.6268721,6.2872524,quiescent,2.55,2.32,4.67,5.21,-0.2299999999999999,0.54
-1.8583673,6.6194267,quiescent,0.69,0.97,4.16,3.19,0.28,-0.9700000000000002
-1.0199589,6.6792917,quiescent,2.0,2.0,5.25,3.67,0.0,-1.58
-1.0542954,5.8814793,quiescent,2.3,2.26,4.89,3.4,-0.04,-1.4899999999999998
-2.4194741,7.221263,quiescent,2.28,2.51,5.09,4.78,0.2299999999999999,-0.3099999999999996
-1.4495969,6.831514,quiescent,0.67,0.6,3.83,4.01,-0.07,0.1799999999999997
0.6651682,9.623328,quiescent,0.81,0.81,3.43,3.6,0.0,0.1699999999999999
-0.51834774,8.963509,quiescent,0.74,0.71,3.3,3.32,-0.03,0.02
1.114029,5.398003,quiescent,1.07,0.89,3.45,3.42,-0.18,-0.0300000000000002
0.0008456698,4.8501396,quiescent,2.12,2.55,4.82,5.07,0.4299999999999997,0.25
2.240981,6.9601364,quiescent,0.59,0.61,3.5,3.69,0.02,0.1899999999999999
0.7022751,8.216224,quiescent,0.51,0.86,3.87,4.14,0.35,0.2699999999999996
-0.78156817,6.217033,quiescent,0.83,1.04,3.92,5.32,0.21,1.4000000000000004
-2.3241847,11.930942,quiescent,1.89,1.91,3.67,3.75,0.02,0.08
-0.91882473,9.854643,quiescent,0.76,1.11,3.22,3.96,0.3500000000000001,0.7399999999999998
-1.6726204,7.3872128,quiescent,1.13,1.38,3.03,3.66,0.25,0.6300000000000003
0.20792805,8.213472,quiescent,0.91,1.11,3.84,3.77,0.2,-0.0699999999999998
-1.3936527,8.745305,quiescent,3.12,2.27,3.23,2.97,-0.8500000000000001,-0.2599999999999998
1.5125643,8.026248,quiescent,1.1,0.88,3.07,4.47,-0.22,1.4
-1.4687958,7.421278,quiescent,0.94,0.91,3.65,3.46,-0.0299999999999999,-0.1899999999999999
0.007035523,5.976201,quiescent,0.55,0.5,4.09,3.95,-0.05,-0.1399999999999996
-1.5652921,5.120735,quiescent,0.88,1.06,3.58,3.86,0.18,0.2799999999999998
-2.966809,9.131976,quiescent,0.41,0.36,3.99,4.02,-0.0499999999999999,0.0299999999999993
-1.6005517,9.126858,quiescent,0.75,0.62,3.35,4.07,-0.13,0.7200000000000002
-2.286136,9.943854,quiescent,1.32,1.03,3.19,3.9,-0.29,0.71
-0.7077335,9.840136,quiescent,0.59,0.99,3.74,3.77,0.4,0.0299999999999998
-1.948768,8.256466,quiescent,0.67,0.62,3.45,4.03,-0.05,0.5800000000000001
-1.1097398,9.958759,quiescent,1.56,2.09,4.46,3.84,0.5299999999999998,-0.6200000000000001
0.8570401,9.82492,quiescent,2.35,1.68,3.99,4.24,-0.6700000000000002,0.25
-1.2816162,5.8568707,quiescent,2.16,2.27,4.18,3.65,0.1099999999999998,-0.5299999999999998
-0.09319787,10.33121,quiescent,0.55,0.5,3.4,3.33,-0.05,-0.0699999999999998
-0.6960096,5.8642073,quiescent,0.76,0.58,3.55,4.89,-0.18,1.34
-0.43243358,8.230752,quiescent,0.72,0.76,3.24,5.89,0.04,2.6499999999999995
0.22911276,5.669582,quiescent,2.51,2.09,4.12,3.93,-0.4199999999999999,-0.1899999999999999
-2.2323685,9.35033,quiescent,0.83,0.75,3.54,3.44,-0.0799999999999999,-0.1
0.6847151,8.734852,quiescent,1.95,2.34,3.08,4.49,0.3899999999999999,1.41
0.49903333,6.2737207,quiescent,2.42,2.22,3.92,4.18,-0.1999999999999997,0.2599999999999998
-0.6004681,7.1771846,quiescent,1.05,0.78,3.4,3.31,-0.27,-0.0899999999999998
0.047617983,6.5976076,quiescent,2.13,2.52,3.81,3.95,0.3900000000000001,0.1400000000000001
2.5954576,6.413569,quiescent,1.06,0.94,4.27,3.27,-0.1200000000000001,-0.9999999999999996
0.32751206,8.857068,quiescent,0.56,0.44,4.2,2.97,-0.12,-1.23
-0.98118675,8.625957,quiescent,1.0,0.94,4.0,3.67,-0.06,-0.33
-1.5418261,9.371443,quiescent,2.25,2.38,4.14,3.77,0.1299999999999999,-0.3699999999999996
0.2038885,9.248442,quiescent,2.37,2.34,4.58,3.85,-0.0300000000000002,-0.73
-1.8455492,8.661811,quiescent,0.7,0.99,4.9,4.52,0.29,-0.3800000000000008
-0.44158164,5.3619895,quiescent,1.15,1.18,3.5,3.92,0.03,0.4199999999999999
-0.6584189,7.862682,quiescent,2.18,2.3,3.98,3.83,0.1199999999999996,-0.1499999999999999
0.30342487,4.368593,quiescent,0.57,0.52,3.84,3.78,-0.0499999999999999,-0.06
0.5303431,1.0591846,quiescent,0.91,0.92,4.51,3.33,0.01,-1.1799999999999995
-0.030259093,8.59779,quiescent,0.77,0.59,3.49,3.4,-0.18,-0.0900000000000003
-0.5439091,9.523143,quiescent,2.65,2.41,5.9,3.4,-0.2399999999999997,-2.5000000000000004
1.5242364,5.647982,quiescent,1.92,2.08,4.2,3.53,0.1600000000000001,-0.6700000000000004
0.38596275,3.8769653,quiescent,3.0,2.37,3.22,3.76,-0.6299999999999999,0.5399999999999996
-2.262994,9.028545,quiescent,1.66,1.64,4.17,3.74,-0.02,-0.4299999999999997
-1.7743816,8.06111,quiescent,2.71,2.61,4.32,4.0,-0.1,-0.3200000000000003
-1.0321126,5.496895,quiescent,1.51,1.37,3.98,3.6,-0.1399999999999999,-0.3799999999999999
-1.5750818,4.773163,quiescent,1.09,1.1,3.7,3.21,0.01,-0.4900000000000002
0.20350309,7.5583315,quiescent,0.64,0.6,3.89,3.3,-0.04,-0.5900000000000003
0.9586385,8.886425,quiescent,1.23,0.95,3.21,4.63,-0.28,1.42
-2.0242434,9.765545,quiescent,0.55,0.63,4.83,3.43,0.0799999999999999,-1.4
0.24356624,8.419418,quiescent,1.09,0.95,3.92,3.04,-0.1400000000000001,-0.8799999999999999
-0.9951977,6.2652745,quiescent,0.8,0.62,3.35,3.54,-0.18,0.1899999999999999
-2.940534,10.180794,quiescent,0.4,0.23,4.18,3.91,-0.17,-0.2699999999999996
-1.1658132,7.8831725,quiescent,0.56,0.46,4.67,3.49,-0.1,-1.1799999999999995
-1.7290233,9.514076,quiescent,0.56,0.72,3.76,3.76,0.1599999999999999,0.0
-1.7210563,6.568145,quiescent,0.69,0.85,3.62,3.39,0.16,-0.2299999999999999
-2.7217615,8.6745205,quiescent,2.58,2.81,4.95,4.3,0.2299999999999999,-0.6500000000000004
-0.142864,5.5616865,quiescent,0.78,0.69,6.76,3.18,-0.09,-3.5799999999999996
0.016749393,9.1426525,quiescent,2.0,2.59,5.47,4.21,0.5899999999999999,-1.2599999999999998
0.038650423,5.238866,quiescent,0.97,0.96,4.03,3.81,-0.01,-0.2200000000000002
-1.1750116,8.638516,quiescent,0.52,0.88,4.54,3.87,0.36,-0.6699999999999999
1.880817,6.5861306,quiescent,0.84,0.98,3.85,3.52,0.14,-0.33
