x_wt,y_wt,time,x_ko,y_ko,pop_wt,pop_ko
1.553321,5.8926873,0.0,5.801935,8.496627,proliferative,intermediate
7.7268605,8.998105,0.0,12.005599,7.999785,intermediate,intermediate
8.630589,9.631407,0.0,6.343439,8.606128,intermediate,intermediate
6.6248784,9.809482,0.0,7.28593,6.4681344,intermediate,intermediate
11.910418,3.7707522,0.0,10.665496,2.6573403,intermediate,intermediate
6.2188478,8.856993,0.0,7.0682187,7.8101945,intermediate,intermediate
11.535676,6.405014,0.0,6.0259123,7.6612206,quiescent,intermediate
6.3497143,8.663522,0.0,11.447328,4.5473795,intermediate,quiescent
9.926564,8.164053,0.0,6.672281,6.976046,intermediate,intermediate
6.264187,8.337129,0.0,6.2271895,8.803047,proliferative,proliferative
7.6362104,10.879281,0.0,6.2390165,8.08237,intermediate,quiescent
11.569933,4.8278475,0.0,10.041772,2.4962165,intermediate,quiescent
10.844898,5.5130973,0.0,11.972294,5.9273686,quiescent,quiescent
6.7861314,9.491093,0.0,11.924351,6.2714562,intermediate,quiescent
12.25222,3.237795,0.0,6.96572,6.2145424,intermediate,proliferative
11.834551,3.7567112,0.0,6.270306,8.513912,intermediate,intermediate
7.3349237,10.157237,0.0,7.142879,6.201276,intermediate,intermediate
8.4861145,7.027563,0.0,7.4718676,7.8390837,intermediate,intermediate
6.947602,6.796326,0.0,9.0351,9.606329,intermediate,intermediate
12.39169,6.405924,0.0,5.6821237,8.515162,proliferative,proliferative
5.7766914,8.17649,0.0,1.1823535,5.1709013,intermediate,intermediate
6.1700587,8.664913,0.0,12.480504,6.3002214,quiescent,quiescent
10.014118,5.191742,0.0,5.630918,7.163913,proliferative,proliferative
6.0341663,8.247888,0.0,5.897835,6.4302096,intermediate,intermediate
11.527495,3.9982598,0.0,5.5789666,6.0704517,proliferative,proliferative
6.2964444,8.077965,0.0,8.492287,5.9451976,quiescent,quiescent
8.337339,5.314881,0.0,6.2351475,8.184728,proliferative,proliferative
12.635818,3.6141677,0.0,12.102458,3.2921183,quiescent,quiescent
