gene,time,mean_wt,mean_ko,log2fc
DNAJB1,0.0,6.617268041237113,8.14561855670103,0.29978853829199814
HNRNPA1,0.0,18.230670103092784,16.4196735395189,-0.15094214801423803
VIM,0.0,42.300257731958766,47.761168384879724,0.17517167618940477
HBA2,0.0,0.38831615120274915,0.25730240549828176,-0.5937667677346594
EIF1,0.0,18.056701030927837,19.9823883161512,0.14619469013517994
EEF1B2,0.0,24.531357388316152,21.834192439862544,-0.16803789189078217
CHCHD7,0.0,0.5300687285223368,0.5919243986254296,0.1592334932704565
EMP3,0.0,3.0854810996563575,1.1890034364261168,-1.375742571801214
H1F0,0.0,1.013745704467354,1.6924398625429553,0.7394087695238369
LDHB,0.0,11.078178694158076,2.7289518900343643,-2.021301848477354
RPSA,0.0,46.156786941580755,50.958333333333336,0.14277529407952375
PDZD2,0.0,0.03608247422680412,0.08805841924398626,1.2871626531268097
OTUD1,0.0,0.14991408934707903,0.2770618556701031,0.8860721196846084
GAPDH,0.0,58.43857388316151,55.60137457044674,-0.07180042196556385
MIF,0.0,4.924828178694158,4.821735395189004,-0.030520909946020778
GNAS,0.0,19.149484536082475,22.181701030927837,0.21206444621742912
BNIP3,0.0,3.8487972508591066,3.5871993127147768,-0.10154976716479873
WSCD1,0.0,0.10609965635738831,0.22551546391752578,1.0878063737685826
LGALS1,0.0,15.112972508591065,18.6073883161512,0.3000881305415645
FKBP4,0.0,2.7830756013745703,2.674398625429553,-0.05746558097751341
HSPH1,0.0,2.9716494845360826,3.1060996563573884,0.06384016252872082
CNBP,0.0,5.161941580756014,5.6396048109965635,0.12768025678890962
FLCN,0.0,0.49054982817869414,0.44716494845360827,-0.1335925817780859
FOXO1,0.0,0.40807560137457044,0.46262886597938147,0.18101883090900706
SMPDL3A,0.0,0.3329037800687285,0.5137457044673539,0.6259491725110241
CCT8,0.0,4.526202749140894,5.116408934707904,0.1768303669025557
ID2,0.0,0.6121134020618557,1.2538659793814433,1.0345122903564907
ZNF100,0.0,0.15936426116838487,0.21434707903780068,0.4276206263942926
MBD6,0.0,0.2856529209621993,0.2929553264604811,0.036417398509728124
HSPA1A,0.0,0.12371134020618557,0.4475945017182131,1.85521455239763
APOE,0.0,6.379295532646048,7.673539518900344,0.2664950772985715
RPL22L1,0.0,2.095360824742268,2.9600515463917527,0.4984235991017659
ANXA2R,0.0,0.07517182130584192,0.07517182130584192,0.0
C1orf21,0.0,0.23152920962199314,0.2860824742268041,0.305236903130533
PARK7,0.0,4.976374570446735,5.583333333333333,0.16603160886120022
PDCD5,0.0,1.8969072164948453,1.6872852233676976,-0.1689452423689879
GLUL,0.0,1.9450171821305842,1.8758591065292096,-0.05223142702428118
ING4,0.0,0.6129725085910653,0.8144329896907216,0.4099736288403012
KLF2,0.0,0.2869415807560137,0.3634020618556701,0.34080955958803133
NDUFS6,0.0,3.6258591065292096,3.265893470790378,-0.1508451331222614
TNNT1,0.0,2.1752577319587627,2.1378865979381443,-0.02500101773972835
MYB,0.0,0.06013745704467354,0.054553264604811,-0.14059832771713565
WIPF2,0.0,0.4798109965635739,0.5150343642611683,0.10220247272527251
OTUD3,0.0,0.46649484536082475,0.5648625429553265,0.27603869583673885
DUSP1,0.0,0.7014604810996563,0.7869415807560137,0.16589471231184091
NPM1,0.0,30.520189003436425,28.36254295532646,-0.1057770075504056
MYO19,0.0,0.4518900343642612,0.38144329896907214,-0.24450312235257593
DDRGK1,0.0,0.7268041237113402,0.8032646048109966,0.14430870146610436
AC244197.2,0.0,0.007302405498281787,0.08805841924398626,3.5920170770741495
PTEN,0.0,0.4677835051546392,0.5747422680412371,0.2970741613506053
