x_wt,y_wt,time,x_ko,y_ko,pop_wt,pop_ko
11.256224,6.585465,0.0,7.3593397,4.7912474,intermediate,proliferative
12.787018,3.0723011,0.0,6.1720552,8.158573,proliferative,intermediate
9.31419,9.803147,0.0,6.280005,5.1428566,intermediate,intermediate
7.414978,6.198887,0.0,10.8085985,3.5714087,intermediate,proliferative
12.531136,5.278107,0.0,10.341543,4.565102,proliferative,proliferative
6.625015,7.145609,0.0,7.813344,10.563491,intermediate,proliferative
13.08484,3.0245976,0.0,6.5197005,4.9093447,intermediate,intermediate
7.8014665,6.893526,0.0,11.680224,4.333705,quiescent,quiescent
10.948253,12.6156435,0.0,8.163712,8.765651,intermediate,quiescent
7.8955626,5.937331,0.0,11.45016,5.786574,intermediate,proliferative
6.072994,8.496876,0.0,9.407805,3.3641336,proliferative,quiescent
7.865178,5.4916544,0.0,8.262739,4.8534327,proliferative,intermediate
11.298256,12.446489,0.0,8.436353,7.2975483,quiescent,intermediate
10.800507,12.057946,0.0,11.174453,4.738223,quiescent,proliferative
2.840352,8.368551,0.0,7.407716,7.358933,intermediate,intermediate
3.5556343,7.408182,0.0,7.2252226,7.121392,quiescent,quiescent
10.489914,6.7072387,0.0,9.753473,6.023117,proliferative,intermediate
12.027802,5.2880983,0.0,8.744119,2.8826044,quiescent,intermediate
6.2538958,6.723884,0.0,8.663621,6.660131,intermediate,intermediate
1.6709298,6.5342574,0.0,10.780842,1.8704089,intermediate,intermediate
2.384101,8.323529,0.0,8.828028,6.8732653,proliferative,intermediate
12.632104,4.2663527,0.0,6.463661,5.0551033,quiescent,quiescent
11.056656,4.4611626,0.0,2.8695464,6.5397253,intermediate,quiescent
12.424552,5.4705477,0.0,8.173823,5.7828016,intermediate,quiescent
7.3503857,6.235714,0.0,1.8007609,5.926054,proliferative,quiescent
10.982694,6.151027,0.0,8.264281,2.4219062,quiescent,quiescent
6.0567055,8.444248,0.0,7.0456614,5.3842125,proliferative,intermediate
12.467021,5.3794527,0.0,11.892403,-0.5783722,quiescent,quiescent
6.7820783,4.3876934,0.0,11.206627,0.32869983,quiescent,intermediate
6.84527,5.4788294,0.0,11.180569,4.288549,quiescent,proliferative
5.984566,5.7073154,0.0,1.6692191,7.099617,intermediate,intermediate
1.8174541,8.14591,0.0,6.1023154,6.7558594,intermediate,proliferative
6.517459,6.4682107,0.0,7.7807465,3.2158213,intermediate,quiescent
9.93469,7.0892453,0.0,6.4730463,5.0543203,proliferative,intermediate
12.8456955,3.1763155,0.0,8.368074,5.4075384,proliferative,proliferative
8.398534,6.069829,0.0,0.40055168,6.5788107,proliferative,quiescent
6.649693,4.738738,0.0,6.679543,4.262723,intermediate,proliferative
12.397104,6.255612,0.0,10.553045,0.7969162,intermediate,quiescent
6.177749,6.969768,0.0,7.6063504,6.1682553,intermediate,intermediate
12.573816,4.7657685,0.0,6.8290906,7.056229,quiescent,intermediate
12.870216,5.4433684,0.0,11.389771,5.02379,quiescent,quiescent
8.353225,8.316696,0.0,10.101397,6.4764233,proliferative,intermediate
5.46341,5.9643908,0.0,7.0424633,6.867588,quiescent,intermediate
9.572986,9.884083,0.0,10.348943,7.6340694,intermediate,proliferative
11.579396,6.366719,0.0,7.6943264,4.2134833,quiescent,proliferative
11.54769,5.4134226,0.0,11.33277,0.4609736,quiescent,quiescent
12.624664,5.894509,0.0,12.536222,2.9441557,quiescent,quiescent
6.2547536,6.511019,0.0,7.185692,4.2049923,proliferative,intermediate
11.632321,3.924829,0.0,10.203061,10.047853,quiescent,intermediate
10.682343,12.459063,0.0,6.8261,4.9234014,proliferative,intermediate
12.243806,4.7976813,0.0,7.2985225,6.742302,intermediate,intermediate
12.417656,6.506308,0.0,6.0866246,9.312191,quiescent,intermediate
10.433063,6.1636834,0.0,11.398695,5.216918,quiescent,quiescent
11.987581,6.140915,0.0,7.1252413,5.416196,quiescent,intermediate
9.247495,9.396359,0.0,9.63571,5.719386,quiescent,quiescent
8.5431795,6.986081,0.0,7.719224,7.4414186,quiescent,intermediate
7.577644,6.6710844,0.0,11.5584755,5.490683,intermediate,quiescent
6.784964,9.256239,0.0,10.828058,2.9804988,proliferative,quiescent
10.466718,3.141746,0.0,7.241403,3.2286222,intermediate,quiescent
8.615224,4.231603,0.0,8.299731,3.1250532,intermediate,proliferative
6.104964,7.1746697,0.0,11.701372,0.8953771,intermediate,quiescent
10.62943,2.0827558,0.0,7.9923015,2.6747477,intermediate,intermediate
6.2063117,6.4383783,0.0,6.9244623,6.11466,proliferative,intermediate
12.118807,3.8197932,0.0,9.207577,1.3965024,intermediate,intermediate
11.872164,4.7887297,0.0,11.7966585,2.0768323,quiescent,quiescent
6.015038,6.544775,0.0,8.1990385,4.6597095,intermediate,intermediate
12.755525,3.631535,0.0,11.95011,0.28095523,quiescent,quiescent
9.114417,6.3582025,0.0,8.7894335,1.767754,quiescent,intermediate
6.9190598,4.3515434,0.0,8.923598,1.8712435,proliferative,quiescent
7.6573143,6.7942977,0.0,6.26154,7.2173204,intermediate,quiescent
11.876711,7.3259835,0.0,9.117439,2.9492433,intermediate,proliferative
7.7119393,7.6759315,0.0,7.279168,4.689737,intermediate,quiescent
6.3054013,7.3330026,0.0,11.273943,5.366697,quiescent,proliferative
6.0960946,7.289846,0.0,8.969646,4.009035,intermediate,intermediate
11.043697,1.9875214,0.0,10.666963,1.9342585,proliferative,proliferative
11.229377,5.4185467,0.0,11.6751995,-0.31366405,proliferative,quiescent
5.1515846,7.500412,0.0,5.4943957,5.8033867,quiescent,proliferative
12.781593,3.3803623,0.0,10.934267,3.5693169,quiescent,quiescent
12.655448,6.490412,0.0,10.004222,2.2741964,quiescent,intermediate
11.215905,3.6818705,0.0,6.4789968,5.8895764,intermediate,intermediate
12.156279,6.984546,0.0,9.948232,4.88832,proliferative,proliferative
6.4764853,6.7852626,0.0,3.3344784,8.802436,intermediate,intermediate
8.039675,5.607094,0.0,10.144196,4.1766996,quiescent,intermediate
1.7282116,8.358201,0.0,9.55576,3.2157447,proliferative,intermediate
5.197531,6.347804,0.0,11.4268465,0.7467611,proliferative,quiescent
12.305066,5.8292327,0.0,10.534022,3.4832194,intermediate,quiescent
7.178015,6.404546,0.0,10.665235,1.4747715,intermediate,quiescent
11.2126255,5.1171145,0.0,10.558568,5.907098,intermediate,quiescent
7.2472296,5.3150797,0.0,10.036866,2.7195966,intermediate,intermediate
11.72797,8.239542,0.0,6.4017887,5.910321,quiescent,intermediate
12.332557,6.480539,0.0,7.414885,6.050782,proliferative,proliferative
11.728093,7.586718,0.0,9.5927,6.861602,intermediate,quiescent
9.45442,5.701445,0.0,6.4977694,7.078638,intermediate,intermediate
6.1307063,6.4112945,0.0,11.605904,0.5567488,proliferative,proliferative
12.000985,4.7787895,0.0,12.361727,4.361781,intermediate,proliferative
6.154593,7.2391267,0.0,6.362992,6.372964,quiescent,quiescent
6.2501493,7.210631,0.0,3.1917953,8.714948,intermediate,intermediate
10.540773,6.748176,0.0,8.069511,6.2979813,intermediate,intermediate
10.876492,9.271396,0.0,1.5239481,6.0094705,intermediate,proliferative
8.071705,10.5798025,0.0,9.734927,8.670295,intermediate,intermediate
6.016964,6.586669,0.0,9.396868,6.841125,intermediate,intermediate
12.427112,6.57339,0.0,7.9997025,8.664733,quiescent,intermediate
6.1330814,7.279847,0.0,9.8454075,7.711386,intermediate,intermediate
8.382854,4.839169,0.0,12.627799,6.1548643,proliferative,quiescent
9.373396,6.5161257,0.0,5.945456,6.2611227,intermediate,proliferative
8.947374,9.954352,0.0,8.199406,5.241707,proliferative,intermediate
12.555644,5.3820825,0.0,6.8153443,4.9406033,quiescent,proliferative
2.191216,8.271584,0.0,1.4134417,6.3084183,intermediate,intermediate
10.165502,12.52565,0.0,9.080473,2.7330034,intermediate,intermediate
6.2315454,6.4164367,0.0,11.575437,2.6380818,quiescent,quiescent
11.534233,5.051994,0.0,10.508282,1.8025734,intermediate,proliferative
7.5578265,6.958922,0.0,11.337165,2.0544052,intermediate,proliferative
7.1744266,6.4750066,0.0,12.308451,3.606496,intermediate,quiescent
12.470334,6.280737,0.0,11.41113,0.43093458,quiescent,quiescent
10.962885,3.278943,0.0,7.521988,3.1560395,quiescent,proliferative
2.9452672,8.020237,0.0,7.299737,3.354034,intermediate,quiescent
6.607723,5.187162,0.0,10.591512,0.08725075,proliferative,intermediate
6.13625,5.1551933,0.0,10.162775,3.0865707,quiescent,quiescent
6.320543,6.8431587,0.0,7.141086,6.2329006,quiescent,quiescent
6.177469,7.3189583,0.0,6.97077,4.8074727,intermediate,intermediate
6.295285,5.310099,0.0,9.89978,3.3976884,proliferative,quiescent
10.896022,12.333931,0.0,10.600535,4.954895,intermediate,quiescent
10.616208,8.074434,0.0,7.7232614,5.421018,proliferative,proliferative
11.154268,9.963591,0.0,8.190902,7.4205155,quiescent,intermediate
6.481132,4.3809075,0.0,6.471904,4.9102807,proliferative,proliferative
8.458091,5.464349,0.0,9.828059,4.036505,proliferative,quiescent
5.576237,7.6291213,0.0,6.1536303,7.4087353,quiescent,intermediate
6.3486567,5.7126837,0.0,8.356004,5.7998333,intermediate,proliferative
7.584909,10.4656,0.0,6.883275,5.195859,proliferative,intermediate
12.192909,5.352297,0.0,9.489663,2.7444615,proliferative,intermediate
6.815113,6.7895794,0.0,6.086067,5.5758324,intermediate,quiescent
11.932651,6.0307975,0.0,9.795315,3.0784018,proliferative,intermediate
6.5620856,5.07547,0.0,12.715964,2.1751428,intermediate,quiescent
11.888429,5.2386217,0.0,10.337398,2.6648037,proliferative,intermediate
12.06427,3.0277085,0.0,10.830248,7.563972,intermediate,quiescent
6.364234,5.461282,0.0,9.699972,2.1389449,intermediate,proliferative
10.98555,12.607443,0.0,6.3917155,10.630238,intermediate,proliferative
8.892694,7.5513473,0.0,7.298052,8.608641,intermediate,proliferative
-0.93678296,7.2354307,0.0,2.5596552,8.377414,proliferative,intermediate
11.693483,6.415525,0.0,11.191696,-0.43148828,proliferative,quiescent
8.401734,6.856555,0.0,3.8502023,8.359527,proliferative,intermediate
5.6470623,7.051535,0.0,4.540193,6.2078266,proliferative,proliferative
12.589326,4.5055914,0.0,6.4747424,5.944459,intermediate,intermediate
7.2356033,7.2911034,0.0,6.350755,6.558833,quiescent,quiescent
8.766553,5.944308,0.0,11.082672,4.369466,intermediate,intermediate
12.010492,4.7929883,0.0,10.7256365,3.3697903,intermediate,quiescent
11.822035,7.316813,0.0,9.623593,4.928613,proliferative,intermediate
10.671244,12.657964,0.0,6.811372,7.4150667,intermediate,proliferative
10.476712,6.855738,0.0,8.39956,4.452964,quiescent,quiescent
6.5779696,6.3971562,0.0,8.030149,6.8156466,proliferative,intermediate
7.4604926,6.0466957,0.0,7.2012024,3.3755767,quiescent,quiescent
8.199286,9.642838,0.0,11.005019,3.5982075,intermediate,quiescent
6.18995,4.945756,0.0,6.55949,5.3699102,proliferative,proliferative
8.628164,4.8732796,0.0,6.3732476,6.480851,quiescent,intermediate
9.874523,7.2646713,0.0,6.3424125,5.762561,quiescent,quiescent
8.627066,8.4367075,0.0,7.415671,5.12991,intermediate,intermediate
5.884817,7.8927956,0.0,6.2426524,5.419659,intermediate,proliferative
7.2763867,4.0975685,0.0,9.405267,6.2582583,proliferative,intermediate
6.7531013,10.918696,0.0,6.5252213,4.7631826,intermediate,quiescent
10.934527,4.172575,0.0,11.323237,1.0680888,intermediate,intermediate
2.2800784,7.216664,0.0,6.4687057,4.009088,intermediate,proliferative
12.273017,4.83012,0.0,12.062291,0.6445497,quiescent,quiescent
11.079665,5.3647723,0.0,11.983958,-0.4302503,intermediate,quiescent
12.689006,4.920231,0.0,10.097719,3.040686,quiescent,quiescent
3.4461243,7.905578,0.0,9.713879,1.7882562,quiescent,intermediate
6.1311316,7.0821824,0.0,7.843596,4.4558644,intermediate,quiescent
6.414921,4.4961853,0.0,7.9639087,5.407588,quiescent,intermediate
7.7969174,8.484146,0.0,2.539484,6.9303064,proliferative,intermediate
8.591008,4.7810917,0.0,11.227534,7.0567527,intermediate,intermediate
