gene,umap_x,umap_y,cluster
RIPOR2,24.846766,2.8073552,4
IFT80,24.70458,8.505533,2
EWSR1,23.548677,8.043672,2
SOX11,25.819897,7.827972,1
ASB16-AS1,22.171722,7.0649533,8
DCBLD1,23.166164,2.892095,8
MYEF2,27.927418,6.6369247,0
AC010336.6,26.940287,6.139366,3
CCNH,24.482597,2.1943247,8
AP000942.2,25.530605,3.1661751,4
DCAF17,24.332294,5.2883506,2
AC021224.1,25.214806,4.3273244,4
AGPAT4,22.97823,5.231543,8
ATP1B3-AS1,25.66938,6.459686,0
SH3PXD2A-AS1,26.020185,6.9647183,0
UBXN4,20.87771,7.0997367,2
PDE1C,22.437256,5.690564,8
AL117329.1,22.560858,3.3827424,8
HMGXB3,25.778511,4.168437,4
GGT7,20.531199,4.784514,8
INTS6-AS1,25.75206,6.188179,0
DENND1A,22.92491,8.457663,8
AL157938.2,25.769325,7.1868277,0
AC092119.2,27.495255,6.5756288,0
PRKG1-AS1,23.27491,5.024204,4
NRXN3,26.61986,4.7537875,4
DDX52,24.522518,6.6385493,3
RCBTB1,24.22349,7.948471,0
AC009159.3,27.00459,6.6373267,7
AC009118.3,26.212204,7.265784,0
RAF1,22.357735,9.605951,8
HPS1,24.97144,7.077877,8
S100A11,20.58996,6.4252214,2
AC005091.1,25.6469,4.796183,4
ZCCHC24,22.856224,5.845069,2
RAB2B,23.934793,4.748979,4
CROCC2,24.735664,3.6393867,4
AL121904.1,28.312864,6.2071886,8
ISPD-AS1,27.839045,6.2733126,0
ACTA1,26.562937,3.3695326,8
OGT,25.65836,5.9048886,3
AVIL,27.198042,5.6757817,7
PRTG,24.1402,3.6332984,4
ATP6V1B2,22.397732,3.0155485,8
SPAG8,21.95377,3.2840168,8
ZNF43,24.058441,8.642287,5
ZFHX4,25.35968,6.3538423,3
ZNF283,24.496798,3.2744808,7
AP001626.1,24.373363,3.479373,4
NUTM2G,25.518564,6.6753926,0
NFIA,23.471317,8.176428,2
HDAC6,26.118868,8.449812,5
AL009178.3,26.183264,6.3684006,0
RAD9A,20.61534,6.014242,8
MT1H,24.326612,2.6595252,8
SLK,24.43981,8.173085,2
VAMP4,24.536768,4.2588587,8
STON1,25.4423,4.769865,7
C3orf49,27.405676,5.623623,7
ABHD1,26.52664,3.5224843,4
HBP1,25.192514,2.8704076,8
TMEM236,26.612278,3.9887607,8
RNF212B,24.898203,7.5228496,0
AL031118.1,24.455238,5.6511497,8
AP003486.1,24.975536,3.1968458,7
ART4,25.8636,7.0959597,0
SLC6A20,27.260046,6.336388,0
SPATA21,25.500816,7.354973,8
CSRNP3,27.167961,5.924765,0
GRM7,24.854708,5.6760526,0
KANSL2,26.644514,4.0597587,4
IQSEC1,24.675304,5.1217937,3
OGA,27.690163,4.8154216,3
HSPA8,23.089518,1.6094483,8
ODF3,25.361008,8.829899,0
SLC13A5,25.407988,7.011839,5
SSTR2,26.321005,4.184157,0
DYNC2LI1,22.249315,5.1682053,8
COL6A1,21.560177,3.4256814,6
ESPL1,24.195517,9.174179,8
POLR3F,25.574657,7.6033487,2
EIF1,22.980711,1.6292425,8
AL136454.1,21.859882,5.7661324,8
SETD5,24.846165,7.496717,1
MCM9,24.141129,8.483461,5
DCAF13,21.533875,4.423994,8
SMPD3,27.241854,4.865248,7
AC005253.1,26.46914,6.6535892,0
SUPT20H,25.081472,7.36657,0
CCDC82,25.383066,8.689178,1
CRLF1,26.33024,6.620168,0
SIGLEC1,26.475626,3.6306899,4
PRSS8,25.295282,3.1703079,8
FZD7,24.8066,4.658611,4
RMND1,21.159325,3.9474702,8
CRAMP1,25.482204,7.973839,5
HDAC2,25.63322,6.837643,8
TMEM168,26.863638,6.2478285,7
SLC22A5,25.668667,4.6708493,4
ZDHHC21,25.953941,6.2089186,3
UBFD1,25.257597,3.598851,8
ZNF385B,27.03343,4.9893312,4
MELTF,24.193192,8.79344,2
GPR173,24.502111,4.9412584,7
TRIM11,24.474897,8.497217,8
SNRNP48,28.115543,6.896467,8
TSC2,21.467628,5.3272014,8
GRIN2B,22.5056,4.996308,8
FCF1,26.766926,5.616249,3
LYSMD3,25.733604,4.493059,7
CAB39L,26.936943,7.174762,8
ZFYVE26,24.496412,6.538343,5
AP003068.1,24.61598,5.6874804,0
LINC01176,26.768936,6.6364784,0
AGO3,25.347382,7.226699,1
ATP6V0D2,25.440594,5.6556263,7
CROCC,23.497051,6.7922826,2
AP005131.1,23.713549,3.8072479,4
WDR44,24.00015,8.201456,2
NT5DC3,23.672033,7.7532554,2
ZNF92,24.614399,8.26168,5
AC007878.1,26.135445,6.4363866,3
RET,21.186375,6.9883585,8
WRAP53,24.896051,9.151667,8
RYK,24.506048,6.964252,5
AGL,22.26701,5.047013,8
LINC02071,25.621368,6.5217795,0
OPA1-AS1,25.796091,3.3091369,4
PHACTR3,26.498959,4.3013587,7
MEI1,26.806805,6.151686,7
AC003102.1,23.996702,8.844781,0
NPIPA1,25.624126,5.112048,7
SLC10A7,25.98429,4.156027,3
TRIM36,25.589087,9.05979,8
PCK1,24.004997,2.9338071,7
ACACB,21.186491,5.950427,8
CCDC7,27.390158,4.9491544,7
AL390728.5,26.571917,8.172453,0
APOC1,23.171467,2.102628,8
AC022400.6,24.174276,6.3200536,0
LINC01909,22.32991,4.24847,8
SPACA6P-AS,27.311777,5.876155,0
PIKFYVE,25.325483,6.8345413,3
ZNF480,25.701426,4.5615325,3
LRRC25,25.69451,5.0483522,0
CLCN5,25.52645,5.882254,5
SAMD4B,21.84587,6.60973,8
KATNAL1,22.310225,9.6861105,8
HCRT,27.425303,4.529265,7
STK36,23.542282,4.7542715,7
AC011444.2,26.41534,5.7644124,7
AC022001.3,25.448116,4.842246,4
CHD7,25.226395,8.17506,5
LHFPL2,23.017063,6.4017196,2
ZBTB20,23.768698,3.3142676,6
VDR,25.889572,6.422454,0
KAT2A,22.215582,8.584028,8
TOP2B,24.314775,7.985599,1
CD200R1,24.774076,3.4899628,4
ALPK2,23.130062,5.339467,3
CPSF6,23.38254,8.74049,2
MTRNR2L10,21.850801,3.4651759,8
AL021707.3,27.710512,5.7537494,8
NUTM2A,25.348852,4.3503966,4
AC004241.1,24.11237,2.9469576,8
CARMN,24.566721,5.984546,8
AL354989.1,24.424503,8.190839,8
LINC00482,22.225742,5.3983283,8
SLC4A3,23.79166,7.480211,2
ZNF83,25.072176,8.081613,0
XIST,23.561964,4.5545936,8
CACNA1G,25.77366,9.183986,8
ABCB6,26.622694,6.0680614,0
CAPZA2,23.235023,1.9499214,8
UBE3C,24.114847,7.0574713,5
CDC42BPA,26.86655,6.9265594,1
AL133480.1,25.71812,5.505216,0
AC048341.2,23.068218,8.947026,8
HAMP,27.395256,5.1634502,0
SLC35E3,25.428452,8.660994,2
AL157904.1,26.464619,6.2424445,0
ZNF132,24.767294,5.909327,0
UBE4B,23.249535,8.926271,8
PKP2,25.845245,6.962789,0
AC107871.1,27.582012,7.268597,7
FKBP3,20.472061,6.32445,8
C5orf66,25.05767,7.6491785,7
COL5A1,23.001457,6.7528906,2
SCMH1,23.851566,3.4730086,8
FBXO5,-1.7901264,-0.33850825,8
EIF4E3,23.08678,7.822108,2
ZNF700,25.384602,8.065675,2
PLN,24.29187,4.1893215,4
LINC00265,25.51547,7.2153587,7
BNC1,22.168282,6.5413804,8
SBF1,22.065973,6.638005,2
