gene,umap_x,umap_y,cluster
IFT80,14.200627,-7.1090193,18
EWSR1,2.7312887,18.753698,3
SOX11,3.2360334,18.843157,3
ASB16-AS1,2.0079067,3.8751428,9
CCNH,10.090684,16.22894,0
DCAF17,13.781233,-7.8116302,18
AGPAT4,1.7447662,-7.3231077,1
UBXN4,2.3678126,18.143179,3
PDE1C,9.38042,1.679117,13
AL117329.1,7.5240326,5.0767145,9
HMGXB3,18.5821,2.2802238,7
GGT7,19.646255,1.7888899,7
DENND1A,9.680386,-9.098792,1
DDX52,12.025043,11.855571,0
RCBTB1,4.5070224,4.471913,9
RAF1,4.677768,19.23254,3
S100A11,0.1589537,12.782816,10
ZCCHC24,1.882605,-7.1946745,1
RAB2B,16.377104,-7.09724,18
AL121904.1,14.294087,-7.720316,18
OGT,17.786545,7.542536,7
PRTG,7.9646,6.607064,9
ATP6V1B2,12.045359,11.899732,0
ZNF43,5.4772415,-3.263482,13
ZFHX4,11.512466,21.755192,17
ZNF283,6.781931,9.748625,5
NFIA,10.834672,16.79264,0
HDAC6,22.953823,-3.792703,18
RAD9A,22.739946,-1.6766374,18
SLK,13.828639,12.0613575,15
VAMP4,5.9422145,4.005493,9
STON1,7.02426,8.278625,6
HBP1,14.743863,18.138857,11
KANSL2,7.828962,21.57963,17
IQSEC1,3.6057036,-8.982817,1
OGA,1.9969805,17.810997,3
HSPA8,0.24674766,11.721723,8
DYNC2LI1,21.731012,-4.7000113,18
COL6A1,0.44071344,16.000504,10
ESPL1,4.991054,7.772185,9
POLR3F,1.7435201,-7.17635,1
EIF1,-3.45295,9.417158,12
SETD5,4.7693996,19.330227,3
MCM9,4.505701,4.7314744,9
DCAF13,9.339782,12.84777,0
SUPT20H,16.403334,12.440349,15
CCDC82,-4.5704265,2.4790134,14
FZD7,15.421484,-7.1256604,18
RMND1,11.992808,11.887122,0
HDAC2,-0.32389328,15.118491,10
TMEM168,6.785262,-1.7126497,13
ZDHHC21,6.382158,-2.313578,13
UBFD1,15.298533,19.257837,11
GPR173,6.4202847,-1.8827406,13
TRIM11,-4.0269003,1.3025572,2
SNRNP48,18.186443,7.954505,7
